id,text,isFinal,hit,mergeParent,image_idAll (17),Classification,precision,recall01,recall02
4,how facing,TRUE,noah.c__f8f67d3bc120451195e8b64,0,"['Caltech101/airplane/image_0054.jpg', 'Caltech101/airplane/image_0064.jpg', 'Caltech101/airplane/image_0082.jpg']",1,TRUE,1,1
5,when time,TRUE,noah.c__f8f67d3bc120451195e8b64,0,"['Caltech101/airplane/image_0054.jpg', 'Caltech101/airplane/image_0064.jpg', 'Caltech101/airplane/image_0082.jpg']",2,TRUE,2,1
6,what is the background,TRUE,mmetwaly__83cdbe643ec74fa58b140,0,"['Caltech101/airplane/image_0001.jpg', 'Caltech101/airplane/image_0004.jpg', 'Caltech101/airplane/image_0068.jpg']",1,TRUE,3,2
7,where are the planes,TRUE,mmetwaly__83cdbe643ec74fa58b140,0,"['Caltech101/airplane/image_0001.jpg', 'Caltech101/airplane/image_0004.jpg', 'Caltech101/airplane/image_0068.jpg']",1,TRUE,4,3
25,what color are the objects,TRUE,fbordwel__4d018d292ec644e791240,0,"['Caltech101/airplane/image_0008.jpg', 'Caltech101/airplane/image_0017.jpg', 'Caltech101/airplane/image_0036.jpg']",1,TRUE,5,4
26,what direction is the plane facing,TRUE,fbordwel__4d018d292ec644e791240,0,"['Caltech101/airplane/image_0008.jpg', 'Caltech101/airplane/image_0017.jpg', 'Caltech101/airplane/image_0036.jpg']",1,TRUE,6,5
27,what are the main colors in the picture,TRUE,fbordwel__4d018d292ec644e791240,0,"['Caltech101/airplane/image_0008.jpg', 'Caltech101/airplane/image_0017.jpg', 'Caltech101/airplane/image_0036.jpg']",2,TRUE,7,5
28,how many planes are there,TRUE,fbordwel__4d018d292ec644e791240,0,"['Caltech101/airplane/image_0008.jpg', 'Caltech101/airplane/image_0017.jpg', 'Caltech101/airplane/image_0036.jpg']",3,FALSE,7,5
32,what is the color of the airplane,TRUE,tung3__b24e6011a7a0422b8816e754,0,"['Caltech101/airplane/image_0029.jpg', 'Caltech101/airplane/image_0058.jpg', 'Caltech101/airplane/image_0078.jpg']",1,TRUE,8,6
33,where are the engines located,TRUE,tung3__b24e6011a7a0422b8816e754,0,"['Caltech101/airplane/image_0029.jpg', 'Caltech101/airplane/image_0058.jpg', 'Caltech101/airplane/image_0078.jpg']",3,FALSE,8,6
41,what color is the object,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"['Caltech101/airplane/image_0006.jpg', 'Caltech101/airplane/image_0046.jpg', 'Caltech101/airplane/image_0097.jpg']",1,TRUE,9,7
42,how is the image taken,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"['Caltech101/airplane/image_0006.jpg', 'Caltech101/airplane/image_0046.jpg', 'Caltech101/airplane/image_0097.jpg']",3,FALSE,9,7
43,where is the object,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"['Caltech101/airplane/image_0006.jpg', 'Caltech101/airplane/image_0046.jpg', 'Caltech101/airplane/image_0097.jpg']",1,TRUE,10,8
44,what is the object,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"['Caltech101/airplane/image_0006.jpg', 'Caltech101/airplane/image_0046.jpg', 'Caltech101/airplane/image_0097.jpg']",3,FALSE,10,8
45,when is the image taken,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"['Caltech101/airplane/image_0006.jpg', 'Caltech101/airplane/image_0046.jpg', 'Caltech101/airplane/image_0097.jpg']",2,TRUE,11,8
51,where is it,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0037.jpg', 'Caltech101/airplane/image_0095.jpg', 'Caltech101/airplane/image_0108.jpg']",1,TRUE,12,9
52,what kind of airplane,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0037.jpg', 'Caltech101/airplane/image_0095.jpg', 'Caltech101/airplane/image_0108.jpg']",1,TRUE,13,10
53,when was the picture taken,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0037.jpg', 'Caltech101/airplane/image_0095.jpg', 'Caltech101/airplane/image_0108.jpg']",2,TRUE,14,10
54,what orientation are the air planes in,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0052.jpg', 'Caltech101/airplane/image_0077.jpg', 'Caltech101/airplane/image_0090.jpg']",1,TRUE,15,11
55,where are the cockpits of the airplane,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0052.jpg', 'Caltech101/airplane/image_0077.jpg', 'Caltech101/airplane/image_0090.jpg']",1,TRUE,16,12
56,what color are the airplanes,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0012.jpg', 'Caltech101/airplane/image_0038.jpg', 'Caltech101/airplane/image_0098.jpg']",1,TRUE,17,13
57,where are the airplanes,TRUE,Gore_s_roommate__17838400841140,0,"['Caltech101/airplane/image_0012.jpg', 'Caltech101/airplane/image_0038.jpg', 'Caltech101/airplane/image_0098.jpg']",1,TRUE,18,14
58,what direction are the planes facing?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"['Caltech101/airplane/image_0002.jpg', 'Caltech101/airplane/image_0015.jpg', 'Caltech101/airplane/image_0083.jpg']",1,TRUE,19,15
59,what color are the body of the planes?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"['Caltech101/airplane/image_0002.jpg', 'Caltech101/airplane/image_0015.jpg', 'Caltech101/airplane/image_0083.jpg']",1,TRUE,20,16
60,how do the front of the planes look?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"['Caltech101/airplane/image_0002.jpg', 'Caltech101/airplane/image_0015.jpg', 'Caltech101/airplane/image_0083.jpg']",3,FALSE,20,16
64,what direction are the planes facing?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"['Caltech101/airplane/image_0031.jpg', 'Caltech101/airplane/image_0040.jpg', 'Caltech101/airplane/image_0079.jpg']",1,TRUE,21,17
65,how many vertical stabilizers do the airplanes have?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"['Caltech101/airplane/image_0031.jpg', 'Caltech101/airplane/image_0040.jpg', 'Caltech101/airplane/image_0079.jpg']",3,FALSE,21,17
66,what Is the object,TRUE,yozimama__6c770c12a21047f0830f1,0,"['Caltech101/airplane/image_0010.jpg', 'Caltech101/airplane/image_0019.jpg', 'Caltech101/airplane/image_0105.jpg']",3,FALSE,21,17
67,where Is the image taken,TRUE,yozimama__6c770c12a21047f0830f1,0,"['Caltech101/airplane/image_0010.jpg', 'Caltech101/airplane/image_0019.jpg', 'Caltech101/airplane/image_0105.jpg']",1,TRUE,22,18
68,what Color is the plane,TRUE,yozimama__6c770c12a21047f0830f1,0,"['Caltech101/airplane/image_0010.jpg', 'Caltech101/airplane/image_0019.jpg', 'Caltech101/airplane/image_0105.jpg']",1,TRUE,23,19
72,when is this (day or night),TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"['Caltech101/airplane/image_0060.jpg', 'Caltech101/airplane/image_0062.jpg', 'Caltech101/airplane/image_0071.jpg']",2,TRUE,24,19
