id,text,isFinal,hit,mergeParent,image_idAll,classification,precision,recall01,recall02
1,how are the planes positioned,TRUE,Andyshen555__59a8699c896e4e2ebc,0,"[52, 116, 118]",1,TRUE,1,1
2,where are the planes,TRUE,Andyshen555__59a8699c896e4e2ebc,0,"[52, 116, 118]",1,TRUE,2,2
3,when are the images taken,TRUE,Andyshen555__59a8699c896e4e2ebc,0,"[52, 116, 118]",2,TRUE,3,2
8,what direction are the planes facing?,TRUE,fbordwel__4d018d292ec644e791240,0,"[29, 43, 46]",1,TRUE,4,3
9,where are the pictures taken,TRUE,fbordwel__4d018d292ec644e791240,0,"[29, 43, 46]",1,TRUE,5,4
10,when is the picture taken,TRUE,fbordwel__4d018d292ec644e791240,0,"[29, 43, 46]",2,TRUE,6,4
11,what is in the picture,TRUE,fbordwel__4d018d292ec644e791240,0,"[29, 43, 46]",3,FALSE,6,4
12,where are the objects,TRUE,fbordwel__4d018d292ec644e791240,0,"[29, 43, 46]",1,TRUE,7,5
13,how many objects are in the picture,TRUE,fbordwel__4d018d292ec644e791240,0,"[29, 43, 46]",3,FALSE,7,5
14,how facing,TRUE,noah.c__f8f67d3bc120451195e8b64,0,"[50, 53, 56]",1,TRUE,8,6
15,where at,TRUE,noah.c__f8f67d3bc120451195e8b64,0,"[50, 53, 56]",3,FALSE,8,6
16,how weather,TRUE,noah.c__f8f67d3bc120451195e8b64,0,"[97, 117, 22]",2,TRUE,9,6
17,how facing,TRUE,noah.c__f8f67d3bc120451195e8b64,0,"[97, 117, 22]",1,TRUE,10,7
18,what is the color of the airplane,TRUE,tung3__b24e6011a7a0422b8816e754,0,"[40, 55, 57]",1,TRUE,11,8
19,where is the airplane,TRUE,tung3__b24e6011a7a0422b8816e754,0,"[40, 55, 57]",1,TRUE,12,9
20,what is the primary object,TRUE,fbordwel__4d018d292ec644e791240,0,"[66, 37, 77]",3,FALSE,12,9
21,where are the objects located,TRUE,fbordwel__4d018d292ec644e791240,0,"[66, 37, 77]",1,TRUE,13,10
22,where is the picture taken,TRUE,fbordwel__4d018d292ec644e791240,0,"[66, 37, 77]",1,TRUE,14,11
23,what is the time of day,TRUE,fbordwel__4d018d292ec644e791240,0,"[66, 37, 77]",2,TRUE,15,11
24,where is the picture taken from,TRUE,fbordwel__4d018d292ec644e791240,0,"[66, 37, 77]",2,TRUE,16,11
29,what is the color of the airplane,TRUE,tung3__b24e6011a7a0422b8816e754,0,"[33, 35, 36]",1,TRUE,17,12
30,where is the airplane,TRUE,tung3__b24e6011a7a0422b8816e754,0,"[33, 35, 36]",1,TRUE,18,13
31,how many engines does the plane have,TRUE,tung3__b24e6011a7a0422b8816e754,0,"[33, 35, 36]",3,FALSE,18,13
34,what is the object in the image,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",3,FALSE,18,13
35,where is the place,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",2,TRUE,19,13
36,when is the image taken,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",2,TRUE,20,13
37,what is the color of the object,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",1,TRUE,21,14
38,how big is the object,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",3,FALSE,21,14
39,what is the background,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",2,TRUE,22,14
40,how is the image faced,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[12, 34, 106]",3,FALSE,22,14
46,what color is the object,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[7, 20, 25]",1,TRUE,23,15
47,where is the image taken,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[7, 20, 25]",1,TRUE,24,16
48,what is the background,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[7, 20, 25]",2,TRUE,25,16
49,when is the image taken,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[7, 20, 25]",2,TRUE,26,16
